QuarterEnd,INGRM_Close_QuarterEnd
2016-03-31,8.9116
2016-06-30,7.5587
2016-09-30,7.1077
2016-12-31,6.2058
2017-03-31,6.0489
2017-06-30,5.8234
2017-09-30,5.2156
2017-12-31,6.647
2018-03-31,5.9509
2018-06-30,7.4999
2018-09-30,8.5293
2018-12-31,9.1077
2019-03-31,9.3626
2019-06-30,9.8332
2019-09-30,9.8724
2019-12-31,16.0684
2020-03-31,16.2841
2020-06-30,22.8428
2020-09-30,59.8521
2020-12-31,48.1169
2021-03-31,55.1953
2021-06-30,43.1366
2021-09-30,49.7051
2021-12-31,58.6756
2022-03-31,68.6264
2022-06-30,154.8997
2022-09-30,130.7824
2022-12-31,173.5268
2023-03-31,321.6619
2023-06-30,620.1
2023-09-30,415.6
2023-12-31,468.75
2024-03-31,594.5
2024-06-30,523.0
2024-09-30,452.25
2024-12-31,438.0
2025-03-31,397.25
2025-06-30,353.25
2025-09-30,449.0
2025-12-31,411.0
