QuarterEnd,OTTO_Close_QuarterEnd
2016-03-31,3.07
2016-06-30,2.78
2016-09-30,2.68
2016-12-31,2.4
2017-03-31,2.69
2017-06-30,2.61
2017-09-30,2.87
2017-12-31,2.43
2018-03-31,2.57
2018-06-30,2.11
2018-09-30,2.65
2018-12-31,5.06
2019-03-31,3.14
2019-06-30,4.28
2019-09-30,3.98
2019-12-31,3.12
2020-03-31,1.8
2020-06-30,6.03
2020-09-30,17.23
2020-12-31,10.53
2021-03-31,25.5
2021-06-30,31.58
2021-09-30,24.58
2021-12-31,36.7
2022-03-31,33.78
2022-06-30,35.14
2022-09-30,32.1
2022-12-31,107.0
2023-03-31,88.95
2023-06-30,173.0
2023-09-30,410.0
2023-12-31,310.0
2024-03-31,328.0
2024-06-30,291.0
2024-09-30,384.75
2024-12-31,420.0
2025-03-31,335.5
2025-06-30,457.25
2025-09-30,430.0
2025-12-31,470.0
