QuarterEnd,METRO_Close_QuarterEnd
2016-03-31,0.5671
2016-06-30,0.5401
2016-09-30,0.5401
2016-12-31,0.8101
2017-03-31,1.1161
2017-06-30,1.0621
2017-09-30,0.8911
2017-12-31,0.8911
2018-03-31,0.8821
2018-06-30,0.9811
2018-09-30,0.7651
2018-12-31,0.6841
2019-03-31,0.6751
2019-06-30,0.9091
2019-09-30,1.8182
2019-12-31,1.2421
2020-03-31,0.8371
2020-06-30,1.6832
2020-09-30,2.1602
2020-12-31,1.8722
2021-03-31,1.9082
2021-06-30,1.5121
2021-09-30,1.1881
2021-12-31,1.36
2022-03-31,1.15
2022-06-30,0.95
2022-09-30,1.26
2022-12-31,2.16
2023-03-31,1.7
2023-06-30,1.78
2023-09-30,2.6
2023-12-31,2.22
2024-03-31,2.44
2024-06-30,2.86
2024-09-30,2.48
2024-12-31,2.58
2025-03-31,2.52
2025-06-30,3.49
2025-09-30,3.91
2025-12-31,3.97
